id,company,country,contact_email,raw_snippet
L01,Zen Home Imports,USA,procurement@zenhomeimports.com,"Wellness and home décor importer; sourcing sound-therapy accessories and seeking new suppliers."
L02,Nordic Wellness Trading AB,Sweden,buyers@nordicwellness.se,"Distributes meditation products including Tibetan singing bowls; vendor page invites new suppliers."
L03,Pixel Craft Digital Agency,USA,hello@pixelcraft.example,"Digital marketing and SEO agency serving ecommerce brands."
L04,Mountain Echo Imports,Canada,buying@mountainechoimports.ca,"Imports Himalayan crafts and is expanding our brass singing bowl range for Canadian retailers."
L05,Global Auto Parts Ltd,UK,orders@globalautoparts.example,"Wholesale auto parts distributor with warehouses across the UK."
L06,Serenity Sound Studio,Australia,wholesale@serenitysounds.example,"Sound healing retailer selling singing bowls and crystal instruments; actively wants small manufacturers."
L07,EuroTrade Consumer Goods GmbH,Germany,procurement@eurotrade.example,"General consumer-goods trader handling procurement and imports for supermarket chains; no wellness category."
L08,Lotus & Bell Wellness Co.,USA,buyers@lotusbell.example,"Wellness retailer evaluating new singing bowl manufacturing partners for its meditation collection."
L09,QuickPrint Office Supplies,USA,sales@quickprint.example,"Office supplies wholesaler serving corporate procurement departments."
L10,Yaso Home & Living,UK,buying@yaso.example,"Home and lifestyle store with a wellness corner; actively posting new singing bowl arrivals."
L11,Brightline Logistics,USA,dispatch@brightlinelogistics.com,"Freight forwarding and logistics company, not a retailer."
L12,Terra Verde Import House,Spain,compras@terraverdeimport.es,"Barcelona import house specializing in artisanal home decor and wellness objects from South and Southeast Asia. Catalog includes ceramics, textiles, and metal singing bowls (currently 3 SKUs, looking to expand range)."
L13,SunnyDay Toy Distributors,UK,info@sunnydaytoys.co.uk,"Distributor of children's toys and games to UK retail chains."
L14,Harmony House Trading Co,New Zealand,buyers@harmonyhousetrading.co.nz,"Auckland-based trading company supplying gift and homeware stores across NZ. Recent newsletter: sourcing team is at a wellness trade show this week looking for singing bowl and crystal suppliers for spring."
L15,Metro Fashion Wholesale,UK,buying@metrofashion.example,"Apparel wholesaler supplying independent clothing shops."
L16,Om Shanti Imports,India,purchase@omshanti.example,"Importer of artisan décor and spiritual goods; open to new artisan partnerships for brass/bronze pieces."
L17,BuildRight Hardware Supply,USA,purchasing@buildright.example,"Hardware supplier focused on construction and home improvement materials."
L18,Chakra Balance Retail Group,USA,procurement@chakra.example,"Meditation and wellness retailer onboarding new singing bowl suppliers for its growing collection."
L19,PetCare Essentials,USA,buying@petcare.example,"Pet products retailer and wholesale distributor."
L20,Kailash Wellness Distribution,Australia,sourcing@kailashwellness.example,"Wellness distribution company growing its sound therapy category and inviting manufacturer inquiries."
